From,To,Train,Start Time,End Time
Broombridge,Maynooth,207,17:18,17:43
Broombridge,Maynooth,210,19:44,19:57
Broombridge,Maynooth,221,17:27,18:01
Broombridge,Maynooth,222,18:27,18:49
Broombridge,Maynooth,223,21:04,21:37
Maynooth,Kilcock,201,07:31,07:35
Maynooth,Kilcock,202,09:37,09:42
Maynooth,Kilcock,203,11:39,11:44
Maynooth,Kilcock,204,13:39,13:44
Maynooth,Kilcock,205,15:39,15:44
Maynooth,Kilcock,206,16:37,16:42
Maynooth,Kilcock,207,17:45,17:51
Maynooth,Kilcock,210,20:05,20:11
Maynooth,Kilcock,221,18:03,18:10
Maynooth,Kilcock,222,18:51,18:56
Maynooth,Kilcock,223,21:39,21:44
Kilcock,Enfield,201,07:36,07:45
Kilcock,Enfield,202,09:43,09:52
Kilcock,Enfield,203,11:45,11:54
Kilcock,Enfield,204,13:45,13:55
Kilcock,Enfield,205,15:45,15:54
Kilcock,Enfield,206,16:43,16:52
Kilcock,Enfield,207,17:52,18:01
Kilcock,Enfield,210,20:12,20:21
Kilcock,Enfield,221,18:11,18:23
Kilcock,Enfield,222,18:57,19:07
Kilcock,Enfield,223,21:45,21:54
Enfield,Mullingar,201,07:46,08:13
Enfield,Mullingar,202,09:53,10:16
Enfield,Mullingar,203,11:55,12:18
Enfield,Mullingar,204,13:56,14:18
Enfield,Mullingar,205,15:55,16:18
Enfield,Mullingar,207,18:02,18:24
Enfield,Mullingar,210,20:22,20:46
Enfield,Mullingar,221,18:24,18:51
Enfield,Mullingar,223,21:55,22:21
Mullingar,Edgeworthstown,201,08:22,08:42
Mullingar,Edgeworthstown,202,10:18,10:37
Mullingar,Edgeworthstown,203,12:20,12:38
Mullingar,Edgeworthstown,204,14:20,14:38
Mullingar,Edgeworthstown,205,16:20,16:38
Mullingar,Edgeworthstown,206,17:20,17:39
Mullingar,Edgeworthstown,207,18:26,18:45
Mullingar,Edgeworthstown,210,20:50,21:09
Mullingar,Edgeworthstown,221,19:03,19:28
Mullingar,Edgeworthstown,222,19:31,19:49
Edgeworthstown,Longford,201,08:43,08:51
Edgeworthstown,Longford,202,10:38,10:46
Edgeworthstown,Longford,203,12:40,12:48
Edgeworthstown,Longford,204,14:40,14:49
Edgeworthstown,Longford,205,16:40,16:48
Edgeworthstown,Longford,206,17:40,17:48
Edgeworthstown,Longford,207,18:47,18:55
Edgeworthstown,Longford,210,21:10,21:18
Edgeworthstown,Longford,221,19:29,19:40
Edgeworthstown,Longford,222,19:50,19:59
Longford,Dromod,201,08:53,09:06
Longford,Dromod,202,10:48,11:01
Longford,Dromod,203,12:50,13:03
Longford,Dromod,204,14:51,15:04
Longford,Dromod,205,16:50,17:03
Longford,Dromod,206,17:50,18:06
Longford,Dromod,207,18:57,19:10
Longford,Dromod,210,21:20,21:31
Longford,Dromod,T1,06:20,06:32
Dromod,Boyle,201,09:08,09:37
Dromod,Boyle,202,11:03,11:37
Dromod,Boyle,203,13:05,13:37
Dromod,Boyle,204,15:06,15:37
