ID,From,To,Departs,Arrives,Dwell,Distance
108,Dromod,Longford,20:07,20:19,60,28749.11702
108,Longford,Edgeworthstown,20:20,20:30,60,22484.06401
108,Edgeworthstown,Mullingar,20:31,20:51,60,42317.80757
108,Mullingar,Enfield,20:52,21:16,60,60352.18637
108,Enfield,Kilcock,21:17,21:26,60,18611.00298
108,Kilcock,Maynooth,21:27,21:33,60,9585.828893
108,Maynooth,Broombridge,21:34,21:53,60,32532.05846
108,Broombridge,Drumcondra,21:54,21:59,60,4878.186797
108,Drumcondra,Dublin Connolly,22:00,22:07,60,2124.592398
121,Longford,Edgeworthstown,05:38,05:49,60,22484.06401
121,Edgeworthstown,Mullingar,05:50,06:09,60,42317.80757
121,Mullingar,Enfield,06:10,06:34,60,60352.18637
121,Enfield,Kilcock,06:35,06:44,60,18611.00298
121,Kilcock,Maynooth,06:45,06:52,60,9585.828893
121,Maynooth,Broombridge,06:53,07:25,60,32532.05846
121,Broombridge,Drumcondra,07:26,07:32,60,4878.186797
121,Drumcondra,Dublin Connolly,07:33,07:39,60,2124.592398
122,Longford,Edgeworthstown,06:12,06:23,60,22484.06401
122,Edgeworthstown,Mullingar,06:24,06:43,60,42317.80757
122,Mullingar,Enfield,06:44,07:09,60,60352.18637
122,Enfield,Kilcock,07:10,07:19,60,18611.00298
122,Kilcock,Maynooth,07:20,07:26,60,9585.828893
122,Maynooth,Broombridge,07:27,08:04,60,32532.05846
122,Broombridge,Drumcondra,08:05,08:11,60,4878.186797
122,Drumcondra,Dublin Connolly,08:12,08:19,60,2124.592398
201,Dublin Connolly,Drumcondra,06:55,07:00,60,2124.592398
201,Drumcondra,Broombridge,07:01,07:05,60,4878.186797
201,Broombridge,Maynooth,07:06,07:30,60,32532.05846
201,Maynooth,Kilcock,07:31,07:35,60,9585.828893
201,Kilcock,Enfield,07:36,07:45,60,18611.00298
201,Enfield,Mullingar,07:46,08:12,60,60352.18637
201,Mullingar,Edgeworthstown,08:13,08:42,60,42317.80757
201,Edgeworthstown,Longford,08:43,08:52,60,22484.06401
201,Longford,Dromod,08:53,09:07,60,28749.11702
201,Dromod,Carrick-on-Shannon,09:08,09:19,60,25953.33147
201,Carrick-on-Shannon,Boyle,09:20,09:38,60,22700.81019
201,Boyle,Ballymote,09:39,09:53,60,33184.4399
201,Ballymote,Collooney,09:54,09:53,60,18909.48764
201,Collooney,Sligo,10:04,10:16,60,16393.84647
202,Dublin Connolly,Drumcondra,09:05,09:10,60,2124.592398
202,Drumcondra,Broombridge,09:11,09:16,60,4878.186797
202,Broombridge,Maynooth,09:17,09:36,60,32532.05846
202,Maynooth,Kilcock,09:37,09:42,60,9585.828893
202,Kilcock,Enfield,09:43,09:52,60,18611.00298
202,Enfield,Mullingar,09:53,10:17,60,60352.18637
202,Mullingar,Edgeworthstown,10:18,10:37,60,42317.80757
202,Edgeworthstown,Longford,10:38,10:47,60,22484.06401
202,Longford,Dromod,10:48,11:02,60,28749.11702
202,Dromod,Carrick-on-Shannon,11:03,11:15,60,25953.33147
202,Carrick-on-Shannon,Boyle,11:16,11:39,60,22700.81019
202,Boyle,Ballymote,11:40,11:55,60,33184.4399
202,Ballymote,Collooney,11:56,12:05,60,18909.48764
202,Collooney,Sligo,12:06,12:17,60,16393.84647
203,Dublin Connolly,Drumcondra,11:05,11:10,60,2124.592398
203,Drumcondra,Broombridge,11:11,11:15,60,4878.186797
203,Broombridge,Maynooth,11:16,11:38,60,32532.05846
203,Maynooth,Kilcock,11:39,11:44,60,9585.828893
203,Kilcock,Enfield,11:45,11:54,60,18611.00298
203,Enfield,Mullingar,11:55,12:19,60,60352.18637
203,Mullingar,Edgeworthstown,12:20,12:39,60,42317.80757
203,Edgeworthstown,Longford,12:40,12:49,60,22484.06401
203,Longford,Dromod,12:50,13:04,60,28749.11702
203,Dromod,Carrick-on-Shannon,13:05,13:17,60,25953.33147
203,Carrick-on-Shannon,Boyle,13:18,13:40,60,22700.81019
203,Boyle,Ballymote,13:41,13:56,60,33184.4399
203,Ballymote,Collooney,13:57,14:06,60,18909.48764
203,Collooney,Sligo,14:07,14:18,60,16393.84647
204,Dublin Connolly,Drumcondra,13:05,13:10,60,2124.592398
204,Drumcondra,Broombridge,13:11,13:16,60,4878.186797
204,Broombridge,Maynooth,13:17,13:38,60,32532.05846
204,Maynooth,Kilcock,13:39,13:44,60,9585.828893
204,Kilcock,Enfield,13:45,13:55,60,18611.00298
204,Enfield,Mullingar,13:56,14:19,60,60352.18637
204,Mullingar,Edgeworthstown,14:20,14:39,60,42317.80757
204,Edgeworthstown,Longford,14:40,14:50,60,22484.06401
204,Longford,Dromod,14:51,15:05,60,28749.11702
204,Dromod,Carrick-on-Shannon,15:06,15:17,60,25953.33147
204,Carrick-on-Shannon,Boyle,15:18,15:40,60,22700.81019
204,Boyle,Ballymote,15:41,15:56,60,33184.4399
204,Ballymote,Collooney,15:57,16:06,60,18909.48764
204,Collooney,Sligo,16:07,16:18,60,16393.84647
205,Dublin Connolly,Drumcondra,15:05,15:10,60,2124.592398
205,Drumcondra,Broombridge,15:11,15:15,60,4878.186797
205,Broombridge,Maynooth,15:16,15:38,60,32532.05846
205,Maynooth,Kilcock,15:39,15:44,60,9585.828893
205,Kilcock,Enfield,15:45,15:54,60,18611.00298
205,Enfield,Mullingar,15:55,16:19,60,60352.18637
205,Mullingar,Edgeworthstown,16:20,16:39,60,42317.80757
205,Edgeworthstown,Longford,16:40,16:49,60,22484.06401
205,Longford,Dromod,16:50,17:04,60,28749.11702
205,Dromod,Carrick-on-Shannon,17:05,17:17,60,25953.33147
205,Carrick-on-Shannon,Boyle,17:18,17:40,60,22700.81019
205,Boyle,Ballymote,17:41,17:56,60,33184.4399
205,Ballymote,Collooney,17:57,18:06,60,18909.48764
205,Collooney,Sligo,18:07,18:18,60,16393.84647
206,Dublin Connolly,Drumcondra,16:00,16:06,60,2124.592398
206,Drumcondra,Broombridge,16:07,16:12,60,4878.186797
206,Broombridge,Maynooth,16:13,16:36,60,32532.05846
206,Maynooth,Kilcock,16:37,16:42,60,9585.828893
206,Kilcock,Enfield,16:43,16:52,60,18611.00298
206,Enfield,Mullingar,16:53,17:19,60,60352.18637
206,Mullingar,Edgeworthstown,17:20,17:39,60,42317.80757
206,Edgeworthstown,Longford,17:40,17:49,60,22484.06401
206,Longford,Dromod,17:50,18:07,60,28749.11702
206,Dromod,Carrick-on-Shannon,18:08,18:20,60,25953.33147
206,Carrick-on-Shannon,Boyle,18:21,18:33,60,22700.81019
206,Boyle,Ballymote,18:34,18:49,60,33184.4399
206,Ballymote,Collooney,18:50,18:59,60,18909.48764
206,Collooney,Sligo,19:00,19:13,60,16393.84647
207,Dublin Connolly,Drumcondra,17:05,17:09,60,2124.592398
207,Drumcondra,Broombridge,17:10,17:17,60,4878.186797
207,Broombridge,Maynooth,17:18,17:44,60,32532.05846
207,Maynooth,Kilcock,17:45,17:51,60,9585.828893
207,Kilcock,Enfield,17:52,18:01,60,18611.00298
207,Enfield,Mullingar,18:02,18:25,60,60352.18637
207,Mullingar,Edgeworthstown,18:26,18:46,60,42317.80757
207,Edgeworthstown,Longford,18:47,18:56,60,22484.06401
207,Longford,Dromod,18:57,19:11,60,28749.11702
207,Dromod,Carrick-on-Shannon,19:12,19:24,60,25953.33147
207,Carrick-on-Shannon,Boyle,19:25,19:44,60,22700.81019
207,Boyle,Ballymote,19:45,20:00,60,33184.4399
207,Ballymote,Collooney,20:01,20:10,60,18909.48764
207,Collooney,Sligo,20:11,20:23,60,16393.84647
221,Dublin Connolly,Drumcondra,17:18,17:21,60,2124.592398
221,Drumcondra,Broombridge,17:22,17:26,60,4878.186797
221,Broombridge,Maynooth,17:27,18:02,60,32532.05846
221,Maynooth,Kilcock,18:03,18:10,60,9585.828893
221,Kilcock,Enfield,18:11,18:23,60,18611.00298
221,Enfield,Mullingar,18:24,18:50,60,60352.18637
221,Mullingar,Edgeworthstown,18:51,19:28,60,42317.80757
221,Edgeworthstown,Longford,19:29,19:39,60,22484.06401
221,Longford,Sligo,23:00,23:00,60,145891.0327
222,Dublin Connolly,Drumcondra,18:16,18:20,60,2124.592398
222,Drumcondra,Broombridge,18:21,18:26,60,4878.186797
222,Broombridge,Maynooth,18:27,18:50,60,32532.05846
222,Maynooth,Kilcock,18:51,18:56,60,9585.828893
222,Kilcock,Enfield,18:57,19:07,60,18611.00298
222,Enfield,Mullingar,19:08,19:30,60,60352.18637
222,Mullingar,Edgeworthstown,19:31,19:49,60,42317.80757
222,Edgeworthstown,Longford,19:50,19:59,60,22484.06401
222,Longford,Sligo,23:00,23:00,60,145891.0327
210,Dublin Connolly,Drumcondra,19:30,19:38,60,2124.592398
210,Drumcondra,Broombridge,19:39,19:43,60,4878.186797
210,Broombridge,Maynooth,19:44,20:04,60,32532.05846
210,Maynooth,Kilcock,20:05,20:11,60,9585.828893
210,Kilcock,Enfield,20:12,20:21,60,18611.00298
210,Enfield,Mullingar,20:22,20:45,60,60352.18637
210,Mullingar,Edgeworthstown,20:46,21:09,60,42317.80757
210,Edgeworthstown,Longford,21:10,21:19,60,22484.06401
210,Longford,Dromod,21:20,21:32,60,28749.11702
210,Dromod,Carrick-on-Shannon,21:33,21:44,60,25953.33147
210,Carrick-on-Shannon,Boyle,21:45,21:57,60,22700.81019
210,Boyle,Ballymote,21:58,22:13,60,33184.4399
210,Ballymote,Collooney,22:14,22:13,60,18909.48764
210,Collooney,Sligo,22:24,22:35,60,16393.84647
223,Dublin Connolly,Drumcondra,20:55,20:58,60,2124.592398
223,Drumcondra,Broombridge,20:59,21:03,60,4878.186797
223,Broombridge,Maynooth,21:04,21:38,60,32532.05846
223,Maynooth,Kilcock,21:39,21:44,60,9585.828893
223,Kilcock,Enfield,21:45,21:54,60,18611.00298
223,Enfield,Mullingar,21:55,22:21,60,60352.18637
223,Mullingar,Sligo,23:00,23:00,60,210692.9043
